jk,umur,L,M,S,SD,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
Laki-Laki,45,1,50.0512,0.02903,1.453,45.7,47.1,48.6,50.1,51.5,53,54.4
Laki-Laki,46,1,50.1064,0.02906,1.4561,45.7,47.2,48.7,50.1,51.6,53,54.5
Laki-Laki,47,1,50.1598,0.02909,1.4592,45.8,47.2,48.7,50.2,51.6,53.1,54.5
Laki-Laki,48,1,50.2115,0.02912,1.4622,45.8,47.3,48.7,50.2,51.7,53.1,54.6
Laki-Laki,49,1,50.2617,0.02915,1.4651,45.9,47.3,48.8,50.3,51.7,53.2,54.7
Laki-Laki,50,1,50.3105,0.02918,1.4681,45.9,47.4,48.8,50.3,51.8,53.2,54.7
Laki-Laki,51,1,50.3578,0.02921,1.471,45.9,47.4,48.9,50.4,51.8,53.3,54.8
Laki-Laki,52,1,50.4039,0.02924,1.4738,46,47.5,48.9,50.4,51.9,53.4,54.8
Laki-Laki,53,1,50.4488,0.02927,1.4766,46,47.5,49,50.4,51.9,53.4,54.9
Laki-Laki,54,1,50.4926,0.02929,1.4789,46.1,47.5,49,50.5,52,53.5,54.9
Laki-Laki,55,1,50.5354,0.02932,1.4817,46.1,47.6,49.1,50.5,52,53.5,55
Laki-Laki,56,1,50.5772,0.02935,1.4844,46.1,47.6,49.1,50.6,52.1,53.5,55
Laki-Laki,57,1,50.6183,0.02938,1.4872,46.2,47.6,49.1,50.6,52.1,53.6,55.1
Laki-Laki,58,1,50.6587,0.0294,1.4894,46.2,47.7,49.2,50.7,52.1,53.6,55.1
Laki-Laki,59,1,50.6984,0.02943,1.4921,46.2,47.7,49.2,50.7,52.2,53.7,55.2
Laki-Laki,60,1,50.7375,0.02946,1.4947,46.3,47.7,49.2,50.7,52.2,53.7,55.2
Perempuan,0,1,33.8787,0.03496,1.1844,30.3,31.5,32.7,33.9,35.1,36.2,37.4
Perempuan,1,1,36.5463,0.0321,1.1731,33,34.2,35.4,36.5,37.7,38.9,40.1
Perempuan,2,1,38.2521,0.03168,1.2118,34.6,35.8,37,38.3,39.5,40.7,41.9
Perempuan,3,1,39.5328,0.0314,1.2413,35.8,37.1,38.3,39.5,40.8,42,43.3
Perempuan,4,1,40.5817,0.03119,1.2657,36.8,38.1,39.3,40.6,41.8,43.1,44.4
Perempuan,5,1,41.459,0.03102,1.2861,37.6,38.9,40.2,41.5,42.7,44,45.3
Perempuan,6,1,42.1995,0.03087,1.3027,38.3,39.6,40.9,42.2,43.5,44.8,46.1
Perempuan,7,1,42.829,0.03075,1.317,38.9,40.2,41.5,42.8,44.1,45.5,46.8
Perempuan,8,1,43.3671,0.03063,1.3283,39.4,40.7,42,43.4,44.7,46,47.4
Perempuan,9,1,43.83,0.03053,1.3381,39.8,41.2,42.5,43.8,45.2,46.5,47.8
Perempuan,10,1,44.2319,0.03044,1.3464,40.2,41.5,42.9,44.2,45.6,46.9,48.3
Perempuan,11,1,44.5844,0.03035,1.3531,40.5,41.9,43.2,44.6,45.9,47.3,48.6
Perempuan,12,1,44.8965,0.03027,1.359,40.8,42.2,43.5,44.9,46.3,47.6,49
Perempuan,13,1,45.1752,0.03019,1.3638,41.1,42.4,43.8,45.2,46.5,47.9,49.3
Perempuan,14,1,45.4265,0.03012,1.3683,41.3,42.7,44.1,45.4,46.8,48.2,49.5
Perempuan,15,1,45.6551,0.03006,1.3724,41.5,42.9,44.3,45.7,47,48.4,49.8
Perempuan,16,1,45.865,0.02999,1.3755,41.7,43.1,44.5,45.9,47.2,48.6,50
Perempuan,17,1,46.0598,0.02993,1.3786,41.9,43.3,44.7,46.1,47.4,48.8,50.2
Perempuan,18,1,46.2424,0.02987,1.3813,42.1,43.5,44.9,46.2,47.6,49,50.4
Perempuan,19,1,46.4152,0.02982,1.3841,42.3,43.6,45,46.4,47.8,49.2,50.6
Perempuan,20,1,46.5801,0.02977,1.3867,42.4,43.8,45.2,46.6,48,49.4,50.7
Perempuan,21,1,46.7384,0.02972,1.3891,42.6,44,45.3,46.7,48.1,49.5,50.9
Perempuan,22,1,46.8913,0.02967,1.3913,42.7,44.1,45.5,46.9,48.3,49.7,51.1
Perempuan,23,1,47.0391,0.02962,1.3933,42.9,44.3,45.6,47,48.4,49.8,51.2
Perempuan,24,1,47.1822,0.02957,1.3952,43,44.4,45.8,47.2,48.6,50,51.4
Perempuan,25,1,47.3204,0.02953,1.3974,43.1,44.5,45.9,47.3,48.7,50.1,51.5
Perempuan,26,1,47.4536,0.02949,1.3994,43.3,44.7,46.1,47.5,48.9,50.3,51.7
Perempuan,27,1,47.5817,0.02945,1.4013,43.4,44.8,46.2,47.6,49,50.4,51.8
Perempuan,28,1,47.7045,0.02941,1.403,43.5,44.9,46.3,47.7,49.1,50.5,51.9
Perempuan,29,1,47.8219,0.02937,1.4045,43.6,45,46.4,47.8,49.2,50.6,52
Perempuan,30,1,47.934,0.02933,1.4059,43.7,45.1,46.5,47.9,49.3,50.7,52.2
Perempuan,31,1,48.041,0.02929,1.4071,43.8,45.2,46.6,48,49.4,50.9,52.3
Perempuan,32,1,48.1432,0.02926,1.4087,43.9,45.3,46.7,48.1,49.6,51,52.4
Perempuan,33,1,48.2408,0.02922,1.4096,44,45.4,46.8,48.2,49.7,51.1,52.5
Perempuan,34,1,48.3343,0.02919,1.4109,44.1,45.5,46.9,48.3,49.7,51.2,52.6
Perempuan,35,1,48.4239,0.02915,1.4116,44.2,45.6,47,48.4,49.8,51.2,52.7
Perempuan,36,1,48.5099,0.02912,1.4126,44.3,45.7,47.1,48.5,49.9,51.3,52.7
Perempuan,37,1,48.5926,0.02909,1.4136,44.4,45.8,47.2,48.6,50,51.4,52.8
Perempuan,38,1,48.6722,0.02906,1.4144,44.4,45.8,47.3,48.7,50.1,51.5,52.9
Perempuan,39,1,48.7489,0.02903,1.4152,44.5,45.9,47.3,48.7,50.2,51.6,53
Perempuan,40,1,48.8228,0.029,1.4159,44.6,46,47.4,48.8,50.2,51.7,53.1
Perempuan,41,1,48.8941,0.02897,1.4165,44.6,46.1,47.5,48.9,50.3,51.7,53.1
Perempuan,42,1,48.9629,0.02894,1.417,44.7,46.1,47.5,49,50.4,51.8,53.2
Perempuan,43,1,49.0294,0.02891,1.4174,44.8,46.2,47.6,49,50.4,51.9,53.3
Perempuan,44,1,49.0937,0.02888,1.4178,44.8,46.3,47.7,49.1,50.5,51.9,53.3
Perempuan,45,1,49.156,0.02886,1.4186,44.9,46.3,47.7,49.2,50.6,52,53.4
Perempuan,46,1,49.2164,0.02883,1.4189,45,46.4,47.8,49.2,50.6,52.1,53.5
Perempuan,47,1,49.2751,0.0288,1.4191,45,46.4,47.9,49.3,50.7,52.1,53.5
Perempuan,48,1,49.3321,0.02878,1.4198,45.1,46.5,47.9,49.3,50.8,52.2,53.6
Perempuan,49,1,49.3877,0.02875,1.4199,45.1,46.5,48,49.4,50.8,52.2,53.6
Perempuan,50,1,49.4419,0.02873,1.4205,45.2,46.6,48,49.4,50.9,52.3,53.7
Perempuan,51,1,49.4947,0.0287,1.4205,45.2,46.7,48.1,49.5,50.9,52.3,53.8
Perempuan,52,1,49.5464,0.02868,1.421,45.3,46.7,48.1,49.5,51,52.4,53.8
Perempuan,53,1,49.5969,0.02865,1.421,45.3,46.8,48.2,49.6,51,52.4,53.9
Perempuan,54,1,49.6464,0.02863,1.4214,45.4,46.8,48.2,49.6,51.1,52.5,53.9
Perempuan,55,1,49.6947,0.02861,1.4218,45.4,46.9,48.3,49.7,51.1,52.5,54
Perempuan,56,1,49.7421,0.02859,1.4221,45.5,46.9,48.3,49.7,51.2,52.6,54
Perempuan,57,1,49.7885,0.02856,1.422,45.5,46.9,48.4,49.8,51.2,52.6,54.1
Perempuan,58,1,49.8341,0.02854,1.4223,45.6,47,48.4,49.8,51.3,52.7,54.1
Perempuan,59,1,49.8789,0.02852,1.4226,45.6,47,48.5,49.9,51.3,52.7,54.1
Perempuan,60,1,49.9229,0.0285,1.4228,45.7,47.1,48.5,49.9,51.3,52.8,54.2
